artist,title
Johnnie Taylor Featuring Andia,Good Love
Mint Condition,What Kind Of Man Would I Be
Ginuwine,Pony
JAY-Z,Can't Knock The Hustle
702,Steelo
Johnny Gill,Let's Get The Mood Right
Luther Vandross,Your Secret Love
Too Short Feat. Parliament Funkadelic,Gettin' It
The Isley Brothers Featuring Angela Winbush,Floatin' On Your Love
Westside Connection,Bow Down
Warren G Featuring Adina Howard,"What's Love Got To Do With It (From ""Supercop"")"
Alfonzo Hunter,Just The Way (Playas Play)
Immature,Lover's Groove
Keith Sweat Featuring Athena Cage,Nobody
Montell Jordan,Falling
Lost Boyz,Music Makes Me High
Changing Faces,"I Got Somebody Else (From ""High School High"")"
BLACKstreet (Featuring Dr. Dre),No Diggity
Da Brat,Sittin' On Top Of The World
MeShell Ndegeocello,Who Is He And What Is He To You
Lil' Kim Featuring Puff Daddy,No Time
Tevin Campbell,I Got It Bad
For Real,Like I Do
"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",This Is For The Lover In You
Toni Braxton,Un-Break My Heart
Total,When Boy Meets Girl/Do You Think About Us
Donell Jones,Knocks Me Off My Feet/You Should Know
Case,More To Love
New Edition,You Don't Have To Worry/I'm Still In Love With You
Nas,Street Dreams
Nate Dogg Featuring Snoop Doggy Dogg,Never Leave Me Alone
En Vogue,Don't Let Go (Love)
112,Come See Me
K-Ci & JoJo,"How Could You (From ""Bulletproof"")"
The Braids,"Bohemian Rhapsody (From ""High School High"")"
Goodfellaz,Sugar Honey Ice Tea
Curtis Mayfield,New World Order
MC Lyte,Cold Rock A Party
OutKast,ATLiens/Wheelz Of Steel
Chaka Khan Featuring Me'Shell Ndegeocello,Never Miss The Water
Johnny Gill Featuring Roger Troutman,It's Your Body
The Almighty RSO Featuring Faith Evans,You Could Be My Boo
R. Kelly,"I Believe I Can Fly (From ""Space Jam"")"
Luther Vandross,I Can Make It Better
Mack 10 & Tha Dogg Pound,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")"
Tina Turner Featuring Barry White,In Your Wildest Dreams
Eric Benet,Spiritual Thang
Freak Nasty,Da' Dip
Seal,"Fly Like An Eagle (From ""Space Jam"")"
Whitney Houston,"I Believe In You And Me (From ""The Preacher's Wife"")"
Redman Featuring K-Solo,That's How It Is (It's Like That)
The Isley Brothers,Tears
Dru Hill,In My Bed
LL Cool J,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")"
Camp Lo,Luchini aka (This Is It)
Monifah,You Don't Have To Love Me
Lost Boyz,Get Up
Quad City DJ's,"Space Jam (From ""Space Jam"")"
SWV,It's All About U
The Roots,What They Do
Erykah Badu,On & On
Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
Babyface,Every Time I Close My Eyes
E-40 Featuring Bo-Rock,Things'll Never Change/Rapper's Ball
Immature Featuring Smooth And Ed From Good Burger,"Watch Me Do My Thing (From ""All That"")"
Sweetback Featuring Amel Larrieux,You Will Rise
Tru Featuring Ice Cream Man (Master P),I Always Feel Like (Somebody's Watching Me)
702,Get It Together
Maxwell,"Sumthin' Sumthin' (From ""Love Jones"")"
Montell Jordan,What's On Tonight
Redman,Whateva Man
Foxy Brown Featuring Jay-Z,I'll Be
Tracey Lee,The Theme (It's Party Time)
Yvette Michele,I'm Not Feeling You
Az Yet Featuring Peter Cetera,Hard To Say I'm Sorry
Da Brat Featuring T-Boz,Ghetto Love
Tre,Take Your Time
112,Cupid
Hev-D,Big Daddy
Mark Morrison,Return Of The Mack
Richie Rich,Do G's Get To Go To Heaven?
Monica,"For You I Will (From ""Space Jam"")"
Ray J,"Let It Go (From ""Set It Off"")"
Rome,I Belong To You (Every Time I See Your Face)
Tasha Holiday,Just The Way You Like It
Westside Connection,Gangstas Make The World Go Round
Zhane,Request Line
Allure Featuring NAS,Head Over Heels
Alfonzo Hunter,Weekend Thang
Whitney Houston,"Step By Step (From ""The Preacher's Wife"")"
Warren G,I Shot The Sheriff
Mint Condition,You Don't Have To Hurt No More
Toni Braxton,I Love Me Some Him/I Don't Want To
Kenny Lattimore,For You
Tela Featuring Eightball & MJG,Sho Nuff
KRS-One,Step Into A World (Rapture's Delight)
Peggy Scott-Adams,Bill
OutKast,Jazzy Belle
Billy Lawrence Featuring MC Lyte,Come On
B-Rock & The Bizz,My Baby Daddy
Teddy Pendergrass,Don't Keep Wasting My Time
The Notorious B.I.G.,Hypnotize
Christion,Full Of Smoke
"Trapp Featuring 2pac, Notorious B.I.G.",Stop The Gunfight
Joe,"Don't Wanna Be A Player (From ""Booty Call"")"
Changing Faces,G.H.E.T.T.O.U.T.
Sounds Of Blackness Featuring Craig Mack,Spirit
Too Short & Lil' Kim,"Call Me (From ""Booty Call"")"
JAY-Z,Feelin' It
Tony Toni Tone,Thinking Of You/Let's Get Down
Michael Jackson,Blood On The Dance Floor
Eric Benet,Femininity
Gyrl,"Get Your Groove On (From ""Baps"")"
Lil Bud & Tizone Featuring Keith Sweat,Gonna Let U Know
The Brand New Heavies,Sometimes
Robin S.,It Must Be Love
Brownstone,5 Miles To Empty
"Master P Featuring Steady Mobb'n, Mia X, Mo B. Dick & O'Dell","If I Could Change (From ""I'm Bout It"")"
Suga Free,If U Stay Ready
DJ Taz Featuring Raheem The Dream,That's Right
JAY-Z,"Who You Wit (From ""Sprung"")"
Leschea,Fulton St.
Veronica (Featuring Craig Mack),"No One But You (From ""Baps"")"
Danny Boy,"It's Over Now (From ""Gridlock'd"")"
Adriana Evans,Seein' Is Believing
K-Ci & JoJo,You Bring Me Up
New Edition,One More Day
Zhane,Crush
Born Jamericans,Yardcore
Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You
Wyclef Jean Featuring Refugee Allstars,We Trying To Stay Alive
Keith Sweat (Featuring Ronald Isley),Come With Me
Ericka Yancey,So Good
Jade Featuring Lil' Rachett & VAZ,"Keep On Risin' (From ""The 6th Man"")"
Bone Thugs-N-Harmony,"Look Into My Eyes (From ""Batman & Robin"")"
Scarface Featuring 2Pac & Johnny P,Smile
Warren G Featuring Ronald Isley,Smokin' Me Out
The O'Jays,What's Stopping You
Levert,Sorry Is
Tha Alkaholiks Featuring Ol' Dirty Bastard,Hip Hop Drunkies
Deborah Cox,"Things Just Ain't The Same (From ""Money Talks"")"
Whitney Houston,"My Heart Is Calling (From ""The Preacher's Wife"")"
Twista,Emotions
"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",Not Tonight
CRU Featuring Slick Rick,Just Another Case
Ray J,Everything You Want
Robyn,Do You Know (What It Takes)
Phajja,What Are You Waiting For?
Laurnea,Can't Let Go
Mario Winans,Don't Know
En Vogue,Whatever
Patti LaBelle,When You Talk About Love
R. Kelly,Gotham City
Rampage Featuring Billy Lawrence,Take It To The Streets
Magoo And Timbaland,Up Jumps Da Boogie
Coolio Featuring 40 Thevz,"C U When U Get There (From ""Nothing To Lose"")"
Mary J. Blige,I Can Love You/Love Is All We Need
SWV (Featuring Puff Daddy),Someone
Adina Howard,[Freak] And U Know It
Tonya,I've Been Having An Affair
The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
Dru Hill,Never Make A Promise
BLACKstreet With Special Guests Ol' Dirty Bastard & Slash,Fix
Rome,Do You Like This
SWV,Can We
Foxy Brown Featuring Dru Hill,Big Bad Mamma
Lisa Stansfield,"Never, Never Gonna Give You Up"
Billy Porter,Show Me
O.C. Featuring Yvette Michele,Far From Yours
702,"All I Want (From ""GOOD Burger"")"
Ivory,Relax & Party
Frankie,If I Had You
Michael Jackson,Stranger In Moscow
Usher,You Make Me Wanna...
Sam Salter,"After 12, Before 6"
4.0,Have A Little Mercy
Sons Of Funk,How Ya Do Dat
Total,What About Us
Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!
Myron,We Can Get Down
Mack 10,Backyard Boogie
Allure Featuring 112,All Cried Out
Milestone,I Care `Bout You
Dana,As We Lay
98 Degrees,Invisible Man
Jon B,Don't Say
AZ Featuring SWV,Hey AZ
Brian McKnight Featuring Mase,You Should Be Mine (Don't Waste Your Time)
Master P Featuring Pimp C And The Shocker,I Miss My Homies
Big Bub Featuring Queen Latifah & Heavy D,Need Your Love
Next,Butta Love
Mariah Carey,Honey
Immature,I'm Not A Fool
Queen Latifah,It's Alright
Lost Boyz,Me And My Crazy World
Simone Hines,Yeah! Yeah! Yeah!
Refugee Camp All Stars Featuring Pras (With Ky-mani),Avenues
Boyz II Men,4 Seasons Of Loneliness
Mary J. Blige,Everything
Jagged Edge Featuring Da Brat & JD,The Way That You Talk
Brownstone,Kiss And Tell
Keystone,"If It Ain't Love (From ""Sprung"")"
Aaliyah,The One I Gave My Heart To
K-Ci & JoJo,Last Night's Letter
H-Town,They Like It Slow
En Vogue,"Too Gone, Too Long"
EPMD,The Joint
"Missy ""Misdemeanor"" Elliott Featuring Da Brat",Sock It 2 Me/The Rain (Supa Dupa Fly)
Bone Thugs-N-Harmony,If I Could Teach The World
Eric Benet,True To Myself
Jay-Z Featuring Babyface And Foxy Brown,Sunshine
LSG,My Body
Mase,Feel So Good
LL Cool J,Phenomenon
Davina,So Good
Big Punisher,I'm Not A Player
BeBe Winans,In Harm's Way
Yvette Michele,DJ Keep Playin' (Get Your Music On)
Uncle Sam,I Don't Ever Want To See You Again
Changing Faces (Featuring Jay-Z),All Of My Days
The O'Jays,Baby You Know
Playa,Don't Stop The Music
Naughty By Nature,Mourn You Til I Join You
Laurnea,Infatuation
Lord Tariq & Peter Gunz,Deja Vu [Uptown Baby]
Queen Pen Featuring Teddy Riley,Man Behind The Music
Robyn,Show Me Love
Billy Lawrence,Up & Down
Destiny's Child,"No, No, No"
Veronica,Rise
Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Been Around The World
Gang Starr,You Know My Steez
The Notorious B.I.G.,Going Back To Cali
Dru Hill,We're Not Making Love No More
Boyz II Men,A Song For Mama
2Pac,I Wonder If Heaven Got A Ghetto
Kimberly Scott,Tuck Me In
WC From Westside Connection,Just Clownin'
Janet,Together Again
K.P. & Envyi,Swing My Way
Sting & The Police,Roxanne `97 - Puff Daddy Remix
"LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P","4, 3, 2, 1"
Lysette,"Young, Sad And Blue"
Phajja,"So Long (Well, Well, Well)"
Militia,Burn
Busta Rhymes,Dangerous
Usher,Nice & Slow
Mase Featuring Total,What You Want
Jon B,They Don't Know/Are U Still Down
LL Cool J,Father
"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",Make Em' Say Uhh!
Wyclef Jean,Gone Till November
Jay-Z Featuring BLACKstreet,A Million And One Questions/The City Is Mine
Ol Skool [Featuring Keith Sweat & Xscape],Am I Dreaming
The Lox,If You Think I'm Jiggy
Queen Pen Featuring Eric Williams,All My Love
INOJ/LATHUN,Freak It
Next,Too Close
Jody Watley,Off The Hook
Mic Geronimo Featuring DMX & Black Rob,Nothin' Move But The Money
7 Mile,Just A Memory
Sylk-E. Fyne Featuring Chill,Romeo And Juliet
Public Announcement,Body Bumpin' Yippie-Yi-Yo
Somethin' For The People,All I Do
Smooth,Strawberries
Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride
Will Smith,Gettin' Jiggy Wit It
DMX Featuring Sheek Of The Lox,Get At Me Dog
JD Featuring Da Brat,The Party Continues
Keith Washington,Bring It On
Aretha Franklin,A Rose Is Still A Rose
Tamia,Imagination
Elusion,Reality
2Pac Featuring Eric Williams,Do For Love
Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,Victory
Mya & Sisqo,It's All About Me
"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",Just Be Straight With Me
Beenie Man,Who Am I
K-Ci & JoJo,All My Life/Don't Rush (Take Love Slowly)
SWV,Rain
Playa,Cheers 2 U
Salt-N-Pepa,Gitty Up
Luke Featuring No Good But So Good,Raise The Roof
The Lox [Featuring DMX & Lil' Kim],"Money, Power & Respect"
CeCe Winans,"Well, Alright"
Canibus,Second Round K.O.
Master P Featuring Sons Of Funk,I Got The Hook Up!
Voices Of Theory,Say It
Davina,Come Over To My Place
Do Or Die Featuring Johnny P & Twista,Still Po' Pimpin'
Mark Morrison,Moan & Groan
Timbaland & Magoo,Clock Strikes
Eboni Foster,Crazy For You
Xscape,The Arms Of The One Who Loves You
Busta Rhymes,Turn It Up [Remix]/Fire It Up
7 Mile,Do Your Thing
Ali,Love Letters
Mariah Carey,My All/Breakdown
Janet Featuring BLACKstreet,I Get Lonely
Angel Grant,Lil' Red Boat
Brandy & Monica,The Boy Is Mine
Imajin Featuring Keith Murray,Shorty (You Keep Playin' With My Mind)
John Forte,Ninety Nine [Flash The Message]
Christion,I Wanna Get Next To You
Link,Whatcha Gone Do?
LaTanya Featuring Twista,Whatuon
Big Punisher Featuring Joe,Still Not A Player
Usher,My Way
"Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes",Party Ain't A Party
Tami Davis,How Do I Say I'm Sorry
Sam Salter,There You Are
Rell Featuring Jay-Z,Love For Free
"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",Make It Hot
Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,Ghetto Supastar (That Is What You Are)
Puff Daddy Featuring Jimmy Page,Come With Me
JD Featuring Jay-Z,Money Ain't A Thang
Missjones,2 Way Street
EOL,Love The Way
Aretha Franklin,Here We Go Again
Goodie Mob Featuring Outkast,Black Ice (Sky High)
All City,The Actual
Kelly Price,Friend Of Mine
Myron,Destiny
Tamia,So Into You
Nate Dogg Featuring Warren G,Nobody Does It Better
Cam'Ron Featuring Mase,Horse & Carriage
69 Boyz,Woof Woof
Mase Featuring Puff Daddy,Lookin' At Me
Mya Featuring Silkk The Shocker,Movin' On
Xzibit,What U See Is What U Get
Montell Jordan,I Can Do That
DMX,Stop Being Greedy
Tatyana Ali,Daydreamin'
Next,I Still Love You
Memphis Bleek (& Jay-Z),It's Alright
Wyclef Jean Featuring Queen Pen & The Product,Cheated (To All The Girls)
Monica,The First Night
Jagged Edge,Gotta Be
Monifah,Touch It
Queen Latifah Featuring Apache,Paper
Jesse Powell,I Wasn't With It
Tyrese,Nobody Else
Inoj,Time After Time
"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick",Goodbye To My Homies
Gerald Levert,Thinkin' Bout It
DMX Featuring Faith Evans,How's It Goin' Down
Mos Def & Kweli Are Black Star,Definition
Funkmaster Flex Presents Khadejia Featuring Product,Here We Go
Snoop Dogg,Still A G Thang
Pressha,Splackavellie
Divine,Lately
Noreaga,SuperThug (What What)
Solo,Touch Me
"Tragedy, Capone, Infinite",'98 Thug Paradise
A Tribe Called Quest,Find A Way
Debelah Morgan,Yesterday
J'Son,I Should Cheat On You
Fat Joe (Featuring Puff Daddy),Don Cartagena
TQ,Westside
Dru Hill Featuring Redman,How Deep Is Your Love
Deborah Cox,Nobody's Supposed To Be Here
Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...
Too $hort,Invasion Of The Flat Booty B*****s
Levi Little,Somebody To Love
Will Smith,Just The Two Of Us
En Vogue,No Fool No More
4KaST,I Tried
Bounty Killer Featuring Mobb Deep & Rappin' Noyd,Deadly Zone
Sporty Thievz,Cheapskate (You Ain't Gettin' Nada)
Xscape,My Little Secret
Aaron Hall,All The Places (I Will Kiss You)
WC Featuring Jon B.,Better Days
Andrea Martin,Let Me Return The Favor
Keith Sweat Featuring Snoop Dogg,Come And Get With Me
112 Featuring Mase,Love Me
Jon B,I Do (Whatcha Say Boo)
Brand Nubian,Don't Let It Go To Your Head
Voices Of Theory,Wherever You Go
Big Punisher Featuring Noreaga,You Came Up
Ice Cube Featuring Mr. Short Khop,Pushin' Weight
Mia X Featuring Charlie Wilson,Whatcha Wanna Do?
Shae Jones,Talk Show Shhh!
Nicole Renee,Strawberry
Lauryn Hill,Doo Wop (That Thing)
JAY-Z,Hard Knock Life (Ghetto Anthem)
Total Featuring Missy Elliott,Trippin'
Willie Max Featuring Raphael Saadiq,Can't Get Enough
Mack 10 Featuring Gerald Levert,Money's Just A Touch Away
Faith Evans,Love Like This
A+,Enjoy Yourself
Mo Thugs Family Featuring Bone Thugs-N-Harmony,Ghetto Cowboy
Danesha Starr Featuring Rome,As Long As I Live
Tami Davis,Only You
Method Man Featuring Streetlife,Judgement Day
DMX,Ruff Ryders' Anthem
R. Kelly & Celine Dion,I'm Your Angel
Brian McKnight Featuring Tone & Kobe Bryant,Hold Me
Reel Tight,(Do You) Wanna Ride
Foxy Brown,Hot Spot
Fat Pat,Tops Drop
Gangsta Boo,Where Dem Dollas At
Tevin Campbell,Another Way
Men Of Vizion,Do You Feel Me? (...Freak You)
"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",Watch For The Hook
Redman,I'll Bee Dat
Dru Hill,These Are The Times
Brandy,Have You Ever?
R. Kelly,When A Woman's Fed Up
2Pac,Changes
Monica,Angel Of Mine
BLACKstreet & Mya Featuring Mase & Blinky Blink,Take Me There
Brandy,Angel In Disguise
Case & Joe,Faded Pictures
OutKast,Rosa Parks
Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel
R. Kelly Featuring Keith Murray,Home Alone
Lauryn Hill,Ex-Factor
"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",Lean On Me
Tyrese,Sweet Lady
TLC,Silly Ho
Jay-Z Featuring DMX,"Money, Cash, Hoes"
Busta Rhymes,Gimme Some More
Lauryn Hill,Can't Take My Eyes Off Of You
Juvenile,Ha
Jesse Powell,You
Lauryn Hill Featuring D'Angelo,Nothing Even Matters
Boyz II Men,I Will Get There
Prince,1999
Too $hort,More Freaky Tales
Whitney Houston & Mariah Carey,When You Believe
Faith Evans Featuring Puff Daddy,All Night Long
Kelly Price,Secret Love
Gerald Levert,Taking Everything
Xscape,Softest Place On Earth
Method Man Featuring D'Angelo,Break Ups 2 Make Ups
The Roots Featuring Erykah Badu,You Got Me
Snoop Dogg Featuring Mystikal And Fiend,Woof
Silkk The Shocker Featuring Mystikal,It Ain't My Fault 1 & 2
Ginuwine,What's So Different
Mariah Carey,I Still Believe/Pure Imagination
Shanice,When I Close My Eyes
DJ Clue Featuring DMX,It's On
TLC,No Scrubs
K-Ci & JoJo,Life
Eric Benet Featuring Faith Evans,Georgy Porgy
Busta Rhymes Featuring Janet,What's It Gonna Be?!
Eminem,My Name Is
Trick Daddy Featuring Trina,Nann
Dru Hill,The Love We Had (Stays On My Mind)
BLACKstreet With Janet,Girlfriend/Boyfriend
Silk,If You (Lovin' Me)
Keith Sweat,I'm Not Ready
112 Featuring Lil'z,Anywhere
Raphael Saadiq & Q-Tip,Get Involved
"DJ Clue Featuring DMX, Jadakis Styles, Drag-On & Eve",Ruff Ryders Anthem (Remix)
Total,Sitting Home
Nas,Nas Is Like
Mya,My First Night With You
Dave Hollister,My Favorite Girl
Maxwell,Fortunate
Jay-Z Featuring Big Jaz,Jigga What...
Divine,One More Try
Trina & Tamara,What'd You Come Here For?
Ja Rule,Holla Holla
Kenny Lattimore,If I Lose My Woman
Blaque,808
Nas Featuring Puff Daddy,Hate Me Now
JT Money Featuring Sole,Who Dat
Redman,Da Goodness
Common Featuring Sadat X,One-Nine-Nine-Nine
Brandy,Almost Doesn't Count
"Missy ""Misdemeanor"" Elliott",She's A Bitch
Reel Tight,I Want U
702,Where My Girls At?
Chante Moore,Chante's Got A Man
Deborah Cox,It's Over Now
T.W.D.Y. Featuring Too Short & Mac Mall,Players Holiday
Krayzie Bone,Thug Mentality
Dru Hill,You Are Everything
R. Kelly,Did You Ever Think
Whitney Houston,It's Not Right But It's Okay
Case,Happily Ever After
Sporty Thievz Featuring Mr. Woods,No Pigeons
Silkk The Shocker Featuring Mya,Somebody Like Me
Tyrese,Lately
Lauryn Hill,Everything Is Everything
Les Nubians,Makeda
Jennifer Lopez,If You Had My Love
Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West
K-Ci & JoJo,Tell Me It's Real
The Beatnuts Featuring Yellaklaw,Watch Out Now
Link,I Don't Wanna See
JAY-Z,Jigga My N****
TLC,I'm Good At Being Bad
Naughty By Nature Featuring Zhane,Jamboree
Destiny's Child,"Bills, Bills, Bills"
Shanice,Yesterday
Cam'ron,Let Me Know
EVE & Nokio,What Ya Want
Faith Evans,Never Gonna Let You Go
Mase Featuring BLACKstreet,Get Ready
Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up
Before Dark,Baby
Tracie Spencer,It's All About You (Not About Me)
Eric Benet Featuring Tamia,Spend My Life With You
Ginuwine,So Anxious
"Missy ""Misdemeanor"" Elliott Featuring Big Boi & Nicole",All N My Grill
Tanto Metro & Devonte,Everyone Falls In Love
Coko,Sunshine
Q-Tip,Vivrant Thing
Mary J. Blige,All That I Can Say
Nas Featuring Aaliyah,You Won't See Me Tonight
"Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T",Wanna Be A Baller
Puff Daddy Featuring Hurricane G,P.E. 2000
Tru,Hoody Hooo
Silk,Meeting In My Bedroom
Deborah Cox With R.L.,We Can't Be Friends
Mercedes Featuring Master P,It's Your Thing
Busta Rhymes,Do The Bus A Bus
Dru Hill,Beauty
Ideal,Get Gone
Whitney Houston,My Love Is Your Love
112,Love You Like I Did
Terry Dexter,Better Than Me
JAY-Z,Girls' Best Friend
Monica,Street Symphony
R. Kelly,If I Could Turn Back The Hands Of Time
Erykah Badu Featuring Rahzel,Southern Gul
TLC,Unpretty
Nas,K-I-SS-I-N-G
Brian McKnight,Back At One
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",Bling Bling
702,You Don't Know
Mariah Carey Featuring Jay-Z,Heartbreaker
Destiny's Child,Bug A Boo
YoungBloodZ,U-Way (How We Do It)
Mobb Deep,Quiet Storm
Eve,Gotta Man
Puff Daddy Featuring R. Kelly,Satisfy You
Donell Jones,U Know What's Up
Snoop Dogg Featuring Xzibit & Nate Dogg,B-Please
Barry White,Staying Power
Warren G Featuring Mack 10,I Want It All
Noreaga,Oh No
Marc Nelson,15 Minutes
Ol' Dirty Bastard Featuring Kelis,Got Your Money
Pharoahe Monch,Simon Says
"Gina Thompson Featuring Missy ""Misdemeanor"" Elliott",Ya Di Ya
Kevon Edmonds,24/7
Dr. Dre Featuring Snoop Dogg,Still D.R.E.
IMx,Stay The Night
Brandy,U Don't Know Me (Like U Used To)
Angie Stone,No More Rain (In This Cloud)
Montell Jordan,Get It On Tonite
Mint Condition,If You Love Me
Case,Think Of You
Chico DeBarge,Give You What You Want (Fa Sure)
Jagged Edge,He Can't Love U
Mary J. Blige,Deep Inside
Sole Featuring JT Money & Kandi,"4, 5, 6"
Master P Featuring D.I.G.,Step To This
Prince,The Greatest Romance Ever Sold
The Notorious B.I.G. Featuring Eminem,Dead Wrong
Hot Boys,We On Fire
Nas,NAStradamus
So Plush Featuring Ja Rule,Damn (Should've Treated U Right)
Blaque,Bring It All To Me
J-Shin Featuring LaTocha Scott,One Night Stand
Guy,Dancin'
Sisqo Featuring Make It Hot,Got To Get It
Ginuwine,None Of Ur Friends Business
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz
"Ginuwine, R.L., Tyrese, Case",The Best Man I Can Be
Lil' Wayne Featuring Juvenile & B.G.,Tha Block Is Hot
Ice Cube Featuring Mack 10 & Ms. Toi,You Can Do It
Kelis,Caught Out There
Drag-On & Juvenile,Down Bottom
The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,Notorious B.I.G.
D'Angelo Featuring Method Man And Redman,Left & Right
Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You
Tracie Spencer,Still In My Heart
Destiny's Child,Say My Name
DMX,What's My Name
Q-Tip,Breathe And Stop
Joe,I Wanna Know
Snoop Dogg Presents Tha Eastsidaz,G'd Up
Jay-Z Featuring Beanie Sigel & Amil,Do It Again (Put Ya Hands Up)
Juvenile,U Understand
Eve Featuring Faith Evans,Love Is Blind
Sammie,I Like It
Dr. Dre Featuring Eminem,Forgot About Dre
D'Angelo,Untitled (How Does It Feel)
Sisqo,Thong Song
Aaliyah,I Don't Wanna
Whitney Houston,I Learned From The Best
Drama,"Left, Right, Left"
Lauryn Hill & Bob Marley,Turn Your Lights Down Low
Hot Boys,I Need A Hot Girl
Mary J. Blige,Your Child
Dave Hollister,Can't Stay
2Pac + Outlawz,Baby Don't Cry (Keep Ya Head Up II)
Santana Featuring The Product G&B,Maria Maria
Da Brat,That's What I'm Looking For
JAY-Z,Anything
The Lox Featuring Timbaland And EVE,"Ryde Or Die, Chick"
DMX,Party Up (Up In Here)
Brian McKnight,Stay Or Let It Go
Amel Larrieux,Get Up
Gerald Levert,Mr. Too Damn Good
Black Rob,Whoa!
Beverly,You Came Along
NAS Featuring Ginuwine,You Owe Me
Guy,Why You Wanna Keep Me From My Baby
P!nk,There You Go
Toni Braxton,He Wasn't Man Enough
Ying Yang Twins,Whistle While You Twurk
Aaliyah,Try Again
Carl Thomas,I Wish
Chico DeBarge Featuring Joe,Listen To Your Man
Mary J. Blige,Give Me You
Mary Mary,Shackles (Praise You)
Tamar Braxton,If You Don't Wanna Love Me
Kevon Edmonds,No Love (I'm Not Used To)
Mint Condition,Is This Pain Our Pleasure
Big Punisher Featuring Donell Jones,It's So Hard
Eric Benet Featuring Roy Ayers,When You Think Of Me
Ice Cube Featuring Krayzie Bone,Until We Rich
Mya Featuring Jadakiss,Best Of Me
Donell Jones,Where I Wanna Be
504 Boyz,Wobble Wobble
Jay-Z Featuring UGK,Big Pimpin'
Avant,Separated
Jagged Edge,Let's Get Married
Nelly,(Hot S**t) Country Grammar
LV Featuring Shari Watson,How Long
Lucy Pearl,Dance Tonight
Montell Jordan,Once Upon A Time
Kelly Price & Friends,Love Sets You Free
Sole Featuring Ginuwine,It Wasn't Me
Eminem,The Real Slim Shady
"Trick Daddy Featuring Duece Poppito, Trina, Co",Shut Up
Ideal Featuring Lil' Mo,Whatever
D'Angelo,Send It On
Big Tymers,Get Your Roll On
The Temptations,I'm Here
Whitney Houston & Deborah Cox,"Same Script, Different Cast"
Dr. Dre Featuring Snoop Dogg,The Next Episode
Da Brat Featuring Tyrese,What'Chu Like
Jennifer Lopez Featuring Big Pun & Fat Joe,Feelin' So Good
Next,Wifey
Sisqo,Incomplete
Busta Rhymes,Get Out!!
Before Dark,Monica
Miracle,Bounce
Ruff Endz,No More
Yolanda Adams,Open My Heart
Brian McKnight,"6, 8, 12"
Janet,Doesn't Really Matter
Joe,Treat Her Like A Lady
Ghostface Killah,Cherchez LaGhost
Kelly Price,As We Lay
Big L,Flamboyant
Lil' Kim,No Matter What They Say
R. Kelly,Bad Man
"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",Take That
Mariah Carey Featuring Snoop Dogg,Crybaby
Destiny's Child,"Jumpin', Jumpin'"
Aaliyah Featuring DMX,Come Back In One Piece
Methrone,Loving Each Other 4 Life
Cuban Link,Flowers For The Dead
DMX Featuring Sisqo,What You Want
Sammie,Crazy Things I Do
Three 6 Mafia Featuring UGK,Sippin' On Da Syrup
Eve & Jadakiss,Got It All
Somethin' For The People,Bitch With No Man
Toni Braxton,Just Be A Man About It
Common,The Light
Ice Cube Featuring Dr. Dre & MC Ren,Hello
Lil' Zane Featuring 112,Callin' Me
Boyz II Men,Pass You By
Major Figgas,Yeah That's Us
Lil Bow Wow Featuring Xscape,Bounce With Me
Mya,Case Of The Ex (Whatcha Gonna Do)
No Question,I Don't Care
Erykah Badu,Bag Lady
TQ,Daily
Jay-Z Featuring Memphis Bleek & Amil,Hey Papi
Lil' Mo,Ta Da
Kandi,Don't Think I'm Not
Mystikal,Shake Ya Ass
Gerald Levert,Baby U Are
